price,bedrooms,surface,floors
755.0,3,2000,3.0
675.0,3,1510,2.0
765.0,5,3580,2.0
427.0,3,3192,2.0
640.0,33,1620,1.0
840.0,4,2360,1.0
595.0,3,2660,2.0
264.0,3,1552,2.0
422.25,2,1280,2.0
520.0,4,1240,1.5
425.0,3,1970,1.0
315.0,6,2940,1.0
457.0,3,2050,2.0
864.5,4,3520,2.0
619.0,3,2720,2.0
549.0,5,3440,1.0
330.0,2,880,1.0
855.0,4,2810,1.5
685.0,4,2510,2.0
325.0,4,1770,2.0
337.0,4,3200,2.0
640.0,4,3420,2.0
396.0,2,950,3.0
292.5,4,1610,2.0
527.5,3,2310,1.0
749.95,3,2010,2.0
680.0,4,2510,2.0
459.995,4,2350,2.0
802.0,4,2130,2.0
423.0,4,2660,2.0
600.0,4,2070,1.5
915.557,5,3740,2.0
369.9,2,1770,3.0
520.0,4,2190,2.0
550.0,4,1720,1.0
385.0,3,1520,3.0
340.0,3,1740,1.0
2983.0,5,7400,2.0
309.95,2,1460,2.0
379.9,4,3181,2.0
715.0,4,2450,1.0
545.0,3,1280,3.0
306.0,3,1250,1.0
368.0,3,1560,1.0
280.5,3,1670,1.0
585.0,3,2170,1.0
735.0,6,3360,1.0
399.95,4,3200,2.0
669.888,4,2550,2.0
639.0,4,2150,2.0
343.5,3,1900,2.0
350.0,3,1410,2.0
230.0,4,1050,1.0
1150.0,3,3830,2.0
209.95,3,2290,1.0
284.85,3,1590,1.0
812.0,3,3240,2.0
275.0,1,1170,1.0
362.0,3,1120,1.0
419.95,4,2260,2.0
343.0,3,2210,1.0
370.0,2,1280,2.0
1225.0,4,2600,1.5
240.0,3,1230,1.5
180.0,3,1670,1.0
339.95,5,1890,2.0
490.0,3,1280,2.0
557.0,4,2840,2.0
355.0,3,1850,1.0
560.0,3,2780,1.0
365.0,2,960,1.0
440.0,2,1190,1.0
432.0,3,1470,1.0
374.5,3,960,1.0
450.5,2,1330,1.0
1095.0,4,3530,2.0
716.0,3,1140,1.5
548.8,4,1660,1.5
600.0,3,1310,2.0
325.0,2,840,1.0
475.0,5,3100,2.0
650.0,4,2160,1.0
750.0,3,2400,2.0
327.5,4,2240,2.0
683.0,3,2300,2.0
750.0,5,2860,2.5
550.0,4,2360,1.0
549.95,5,2650,2.0
507.0,4,2730,2.0
238.0,4,1400,1.5
439.0,3,3180,1.0
1125.0,6,2880,2.0
376.95,4,2643,2.0
432.1,3,1840,1.0
380.0,2,780,1.0
515.0,3,1710,1.0
555.0,3,1570,1.0
333.7,3,2230,2.0
1100.0,4,2190,1.0
265.0,4,1940,1.0
850.0,4,2350,1.0
249.9,3,1310,1.0
242.5,3,1770,1.0
850.0,5,2980,1.5
1381.0,4,3160,2.5
406.0,3,1390,1.0
525.0,2,1360,1.0
220.0,4,2020,1.0
373.0,3,1670,2.0
392.5,3,1660,1.0
357.95,2,810,1.0
550.0,4,1690,1.5
805.0,4,2410,1.0
350.0,3,1300,1.0
880.0,5,4600,2.0
456.0,3,1440,1.0
699.9,4,2380,1.0
330.0,2,520,1.0
305.0,2,1000,1.0
615.0,3,1860,1.0
645.0,4,2430,1.0
865.95,5,4890,2.0
290.0,2,850,1.0
336.0,3,2760,1.0
449.0,3,1660,1.0
635.0,5,3710,2.0
330.0,4,2440,1.0
341.5,3,1130,1.0
415.0,4,2390,1.0
250.0,2,1160,2.0
300.0,2,750,1.0
815.0,4,3488,2.0
670.0,3,1280,1.5
262.0,3,1970,2.0
335.9,4,2475,2.0
735.0,4,2450,2.0
220.0,3,1460,1.0
484.0,3,1950,1.0
265.0,0,384,1.0
345.0,3,960,1.0
230.0,3,1830,1.0
549.995,3,1120,1.0
991.5,4,3820,2.0
925.0,3,2440,1.0
344.2,4,2490,2.0
336.0,4,2210,2.0
364.0,4,1210,1.5
435.0,6,2400,2.0
1237.5,4,5180,2.0
681.0,3,1880,1.0
560.0,4,1950,1.0
1600.0,4,4280,2.0
453.0,4,1880,1.0
322.5,4,2060,1.0
668.0,4,2670,2.0
223.99,2,1061,2.0
150.0,2,840,1.0
236.0,3,1300,1.0
700.0,4,2230,1.5
468.0,3,1470,2.0
905.0,3,3520,2.5
402.0,3,1200,1.0
1054.71,4,4210,2.0
260.0,3,1030,1.0
570.0,4,2460,1.0
671.3,4,3280,2.0
372.0,3,1330,2.0
670.0,5,2520,2.0
1050.0,3,2200,2.0
1385.0,6,5700,1.0
331.5,4,1700,1.0
258.0,3,1790,1.5
499.0,3,1861,2.0
515.0,2,1150,1.0
1712.75,5,2660,1.0
450.0,3,2150,1.0
305.0,2,960,1.0
203.0,3,840,1.0
279.0,4,1840,1.0
172.04,3,1710,1.0
740.0,4,3430,2.0
533.38,4,2790,2.0
280.0,3,1370,2.0
462.6,3,1320,1.0
212.0,3,1060,1.0
245.0,4,2010,1.5
197.2,3,1140,1.0
733.5,3,2120,1.5
450.0,2,1530,2.0
565.0,4,2230,1.0
600.0,2,1110,1.5
167.0,1,780,1.5
465.0,3,2760,1.0
90.0,2,580,1.0
429.0,3,1490,3.0
2300.0,4,3970,2.0
357.0,3,2460,1.0
641.5,1,1000,1.0
265.9,3,1180,1.0
565.0,4,1960,1.5
246.0,4,1720,1.0
550.0,4,2850,2.0
625.0,4,2630,2.0
402.0,3,1720,1.0
337.0,2,1010,1.0
382.0,5,2880,2.0
620.0,3,2010,1.0
329.95,2,1140,1.5
879.0,3,3030,1.5
1500.0,5,4370,2.0
260.0,3,1580,1.0
244.9,1,620,1.0
850.0,4,3180,2.0
950.0,4,3230,2.0
840.0,3,3050,1.0
360.0,3,1660,1.0
350.0,3,1090,1.0
264.5,3,1580,1.0
689.8,3,2390,1.0
687.015,3,1470,3.0
375.0,3,2120,2.0
321.5,4,2620,2.0
409.0,3,1950,2.0
239.95,2,1280,1.0
650.0,5,2400,1.0
1325.0,6,5720,2.0
450.0,3,1810,1.0
445.0,2,930,1.0
237.0,3,960,1.0
480.0,3,1590,2.0
655.1,1,1220,1.0
450.0,2,1120,1.0
312.5,3,1170,1.0
587.45,3,2190,1.5
406.1,3,1410,3.0
281.0,4,1677,2.0
375.0,3,3120,1.0
265.0,3,1070,1.0
500.0,3,2270,2.0
850.0,2,2210,1.0
700.0,3,2410,2.0
572.65,4,2250,2.0
1218.0,4,3670,2.0
1010.0,3,2160,2.0
849.0,3,2520,1.0
990.0,3,2630,2.0
350.0,4,2060,1.0
350.0,2,740,1.0
294.7,3,1970,1.0
385.0,4,1850,1.0
533.0,3,2810,2.0
575.0,2,1490,1.0
440.0,3,1900,1.0
235.0,3,1250,1.0
312.5,3,1490,1.0
249.0,3,1520,1.0
312.0,2,1160,1.0
328.0,3,1440,2.0
220.0,3,1650,1.0
375.0,2,1010,1.0
560.0,3,2280,2.0
515.0,4,1820,1.0
502.0,4,2680,2.0
587.0,5,3610,2.0
328.423,3,1730,2.0
775.0,4,4130,2.0
224.95,4,2260,1.0
330.0,3,1450,1.0
326.989,3,2060,2.0
318.0,4,2180,1.0
305.0,2,860,1.0
249.0,3,1180,1.0
410.0,3,1020,1.0
1095.0,5,4410,2.0
675.0,3,1300,2.0
495.0,2,1160,2.0
345.0,3,1600,2.0
937.5,4,5545,2.0
750.5,5,2170,1.5
329.9,3,1380,1.0
357.823,3,1240,1.0
552.5,4,3710,2.0
182.5,3,1830,2.0
500.0,3,960,1.0
321.0,4,2430,2.0
685.0,3,2230,2.0
1150.0,6,4090,2.0
375.0,5,2050,1.0
350.5,2,1770,1.0
543.0,2,940,1.0
160.0,3,1480,1.0
425.0,2,1320,1.0
565.0,4,3130,2.0
310.0,5,2190,1.0
515.0,4,2700,2.0
265.0,3,1620,1.5
255.0,3,1550,1.0
1100.0,4,5070,2.0
499.99,3,1630,1.0
600.0,4,2090,2.0
243.5,2,900,1.0
240.0,3,1510,1.0
470.0,3,2280,2.0
950.0,3,3080,2.0
326.0,2,1030,3.0
635.0,3,3350,2.0
480.0,3,1940,2.0
299.5,2,740,1.0
305.0,3,1320,2.0
339.0,4,2390,1.5
710.0,4,2630,1.0
329.95,4,2120,2.0
535.0,2,920,1.0
595.0,5,2980,1.0
400.0,4,1670,1.0
470.0,5,2180,1.5
708.0,2,1120,1.0
804.995,5,3360,2.0
464.0,3,1320,2.0
535.0,2,2560,1.0
515.0,3,2440,2.0
415.0,3,1300,1.0
432.9,3,2210,2.0
474.0,2,1050,1.0
874.0,3,1350,3.0
385.0,3,1930,1.0
554.663,3,1230,1.5
449.0,2,1460,2.0
530.0,3,1440,1.0
579.95,4,2460,2.0
210.0,4,1130,1.0
580.0,3,2200,2.0
395.0,1,730,1.0
354.0,2,850,1.0
400.0,4,3350,1.0
370.0,4,2220,2.0
572.0,4,2770,2.0
1825.0,3,6030,2.0
865.0,5,2830,1.0
269.5,2,1480,1.0
548.0,4,2100,1.0
427.0,2,1440,2.0
685.0,4,3320,2.0
585.0,6,3870,2.0
1210.0,4,3270,2.0
497.0,3,2240,1.0
440.0,3,1570,1.0
245.0,2,1020,1.0
870.0,4,3520,2.5
264.25,3,1420,1.5
352.0,2,760,1.0
358.5,3,2000,1.0
500.0,4,2230,1.0
226.8,2,1240,1.0
565.997,5,2730,2.0
1078.0,4,3160,2.0
245.0,3,1370,1.0
555.0,4,2220,1.0
411.0,1,1080,1.5
323.5,3,2240,2.0
428.0,3,2600,2.0
149.5,3,1010,1.0
540.5,3,2800,1.0
465.25,5,1940,1.5
585.0,3,1790,1.0
209.95,3,1570,1.0
345.0,4,2331,2.0
280.5,3,2440,1.0
608.0,4,2490,1.0
394.0,3,1370,1.0
198.0,3,860,1.0
540.0,6,2870,2.0
581.0,4,1630,1.5
2260.0,3,3110,1.0
618.0,5,1880,1.0
289.0,3,1850,1.0
625.0,4,2070,1.0
1028.0,3,2800,1.0
558.0,4,2060,1.0
729.0,4,3065,3.0
465.0,4,2070,2.0
290.0,4,2050,2.0
417.0,4,2090,1.0
677.0,4,2820,2.0
390.0,3,1650,1.5
500.0,4,2040,1.0
585.0,3,1670,1.5
1029.28,4,3600,2.0
800.0,4,3010,2.0
637.5,4,2320,2.0
318.0,3,1010,1.0
410.0,3,1740,2.0
510.0,3,1320,3.0
589.0,4,2910,2.0
598.78,4,3040,1.0
245.0,2,870,1.0
390.0,2,1080,1.5
618.0,2,1890,1.0
513.0,3,1810,2.0
675.0,4,3190,2.0
397.0,4,2020,1.0
785.5,4,3280,2.0
463.5,1,1090,1.0
395.0,5,2100,1.0
335.0,3,1570,1.0
400.0,4,2350,2.5
320.0,3,1230,1.0
419.9,3,1630,2.0
400.0,3,1180,2.0
480.0,4,1920,1.0
479.0,4,2590,2.0
205.0,4,1450,1.0
845.0,4,3350,1.0
580.0,3,2150,2.0
770.0,3,2070,2.0
503.0,3,2590,2.0
600.0,5,3000,2.0
1680.0,4,5584,2.0
925.0,3,2610,1.5
705.0,3,1970,2.0
502.775,3,1700,1.0
840.0,5,2790,1.0
425.0,2,1150,1.0
550.0,3,1830,1.0
322.5,3,1160,1.0
205.0,3,1800,1.0
1735.0,5,4870,2.5
535.0,4,2610,2.0
355.0,3,2370,1.0
430.0,5,3880,2.0
429.0,3,2420,2.0
330.0,4,1100,1.5
575.0,3,1750,2.0
255.0,4,960,1.0
330.0,3,2210,2.0
272.0,4,2040,1.0
425.0,2,1160,1.0
775.0,4,3010,2.0
843.5,4,2630,2.0
282.613,2,830,1.0
250.0,2,1030,1.0
425.0,3,1010,1.0
470.0,4,1740,1.5
338.9,3,1180,1.0
765.0,4,2910,2.0
540.5,5,3090,2.0
299.9,4,1580,2.0
925.0,4,2110,1.0
270.0,4,1600,2.0
230.95,2,930,1.0
740.0,3,1830,1.0
373.0,3,2990,1.0
475.0,4,2410,1.0
235.0,2,1140,1.5
490.0,3,1420,1.0
256.5,5,1960,1.0
400.0,3,1330,1.0
625.0,3,2570,1.0
399.0,3,1340,1.0
475.0,4,2100,1.0
540.0,4,1690,1.5
595.0,2,1030,1.0
477.0,3,2100,2.0
172.5,3,1040,1.0
350.0,3,1830,1.0
244.0,3,1360,1.0
950.0,4,3360,2.0
452.0,3,2600,1.0
295.0,3,1520,1.0
375.0,3,2760,2.0
999.0,7,3150,1.0
293.0,2,1610,2.0
652.1,3,2380,2.0
295.0,3,1690,2.0
910.0,4,3570,2.0
315.0,2,2080,1.0
400.0,4,2420,1.0
381.8,4,1530,1.0
500.0,3,1730,1.0
335.0,3,980,1.0
505.0,4,1940,1.0
333.5,3,1220,1.0
815.0,3,2780,2.0
548.5,3,1740,1.5
710.0,3,1880,1.0
420.0,3,2020,2.0
474.9,3,1630,1.5
870.0,4,3010,2.0
620.0,2,990,1.0
286.0,2,780,1.0
1375.0,4,3130,2.0
405.0,2,880,1.0
229.9,3,1440,1.0
215.0,3,1280,2.0
650.0,3,1320,1.0
312.0,4,1300,1.0
425.0,3,1320,1.0
282.0,4,1785,2.0
850.0,5,3450,1.0
304.9,4,2600,1.0
550.0,3,1680,1.0
290.0,3,1420,2.0
539.95,3,2190,1.0
535.0,3,1850,2.0
525.0,2,1310,3.5
473.0,3,1620,2.0
620.0,4,2850,2.0
355.0,3,2110,2.0
510.5,3,1270,1.0
638.0,3,2170,2.0
719.0,3,1800,1.0
772.5,4,1720,1.5
270.0,3,1760,1.0
517.1,3,1580,1.0
357.0,2,870,1.0
705.0,3,1580,2.0
335.0,3,2031,2.0
550.0,3,2800,2.0
326.5,3,1810,2.0
205.0,3,1410,1.0
1550.0,4,5280,2.0
559.0,3,1700,1.0
400.0,3,3000,1.0
200.5,3,1280,1.0
667.5,3,1880,1.0
279.95,4,2420,1.5
550.0,4,1660,1.0
265.0,3,1530,2.0
718.5,4,2840,2.0
464.5,5,2940,1.0
520.0,4,2490,2.0
330.0,3,1060,1.0
260.0,2,690,1.0
715.0,4,1986,2.0
418.0,4,3266,2.0
173.0,2,820,1.0
715.0,5,1920,1.0
374.9,5,2980,1.0
565.0,2,1670,1.0
237.0,3,1300,1.0
393.0,3,2140,2.0
434.9,3,1520,1.0
225.0,3,960,1.0
355.0,3,1120,1.0
490.0,3,1930,2.0
382.88,3,1620,1.0
629.95,3,1680,2.0
255.0,3,1140,1.0
185.0,4,1380,1.0
241.45,3,1100,1.0
850.0,4,2550,1.5
625.0,4,2740,1.0
580.0,3,1670,1.0
502.0,4,2040,2.0
3300.0,5,8020,2.0
272.0,3,1380,1.0
390.0,5,2890,1.0
350.0,4,2310,1.0
615.0,3,1920,1.0
255.544,3,1360,1.5
550.0,3,2720,1.0
440.0,3,1210,1.5
705.0,4,2740,2.5
510.0,3,1845,2.0
480.0,4,2430,2.0
285.5,4,1960,1.0
960.0,5,3040,2.0
1650.0,8,4040,1.0
280.0,3,1790,1.0
200.0,2,1320,1.5
235.0,4,1450,1.5
682.0,2,890,1.0
1380.0,5,4050,1.0
299.95,3,1320,2.0
287.0,3,1300,1.5
886.0,3,2380,2.0
365.0,4,1800,1.0
349.95,5,2257,1.0
610.0,4,2950,2.0
569.0,4,2250,2.0
825.0,4,1890,1.5
1220.0,4,3200,2.0
745.0,3,2970,1.0
510.0,3,1890,2.0
260.0,3,1490,2.0
660.0,3,2650,2.0
400.0,4,3140,2.0
369.95,4,1910,2.0
395.0,2,980,1.0
358.0,3,1250,1.0
540.0,4,2050,2.0
416.0,3,1800,2.0
190.0,3,1180,1.0
349.5,3,1400,1.0
430.0,3,1560,1.5
580.0,4,2330,1.5
370.0,5,2740,2.0
1378.0,5,3680,2.0
313.0,3,1340,1.5
715.0,4,1710,1.5
515.0,5,2220,1.5
750.0,4,3050,2.0
550.0,3,2230,1.0
850.0,3,2220,2.0
504.975,2,1900,2.0
235.0,3,1370,1.0
309.0,3,1950,2.0
690.0,4,3210,2.0
172.0,3,970,1.0
715.0,3,1990,3.0
666.57,4,2320,1.5
232.5,3,1940,1.0
2574.0,4,4475,2.0
82.5,2,520,1.0
535.0,3,1960,2.0
180.0,3,1990,2.0
272.0,3,1130,1.5
299.0,3,1510,1.0
620.0,4,3040,2.0
655.5,4,2380,1.0
328.0,2,1550,2.0
253.5,3,1440,1.0
845.0,3,2540,1.5
699.0,5,3340,2.0
580.0,3,1820,2.0
1250.0,4,4980,2.0
485.0,4,2820,1.0
385.0,4,2960,2.0
627.8,4,2010,1.0
625.0,3,2120,1.0
450.0,4,1990,1.0
900.0,4,4700,2.0
392.5,2,1050,1.0
469.95,3,1820,3.0
810.0,3,1520,1.0
340.0,4,1900,1.0
795.0,3,2260,2.0
254.0,3,1480,1.0
150.0,3,1200,1.0
315.0,4,2300,1.0
731.0,5,3670,1.5
1960.0,4,4430,2.0
2400.0,4,5860,2.0
624.0,4,2710,1.0
529.95,3,1240,3.0
1050.0,4,3260,2.0
252.5,2,770,1.0
324.95,3,1040,1.0
580.0,4,1780,1.0
270.0,4,2701,2.0
400.0,4,3030,2.0
500.0,4,2050,2.0
401.0,3,2020,1.0
838.0,3,2930,2.0
400.0,4,2230,1.0
550.0,4,2120,1.0
455.0,4,3060,1.0
1205.0,4,3150,2.0
489.0,3,3080,2.0
356.0,3,1680,1.0
615.75,4,2140,2.0
998.0,4,3770,2.0
331.21,4,2240,2.0
325.0,2,1070,1.0
430.0,4,1890,1.0
195.0,3,1190,1.0
995.0,2,1600,1.0
690.0,4,2230,1.5
286.7,3,1220,1.0
465.0,3,930,1.0
325.0,2,1400,1.0
757.0,3,3190,2.0
260.0,3,1489,2.0
313.1,4,2660,1.0
785.95,4,2530,1.5
960.0,4,3720,2.0
420.0,3,1444,1.5
268.5,2,790,1.0
414.0,3,1790,2.0
1007.5,4,3510,2.0
293.467,4,1590,3.0
385.0,3,1320,3.0
555.0,5,2810,1.0
745.0,5,4720,2.0
287.0,2,2410,1.0
565.0,3,1540,1.0
1000.0,5,3920,2.0
630.0,3,1940,1.0
264.0,3,1820,1.0
1050.0,4,4550,1.0
660.0,3,3600,2.0
1564.35,4,3730,2.0
447.5,3,2320,2.0
580.0,3,1620,3.0
211.0,3,1350,1.0
455.0,3,2400,1.0
415.0,3,1710,2.0
277.5,4,2550,1.0
330.0,2,1440,1.0
775.0,4,3390,2.0
652.5,4,2700,2.0
425.0,2,1670,1.0
541.5,3,2320,1.0
635.0,2,2470,2.0
353.0,3,2550,2.0
550.0,3,1450,2.0
381.0,3,2700,1.0
470.0,4,1850,1.5
537.0,3,1550,1.5
197.4,3,1610,1.0
362.0,5,1810,2.0
1085.5,4,3010,2.0
630.0,4,2330,2.0
950.0,3,2150,2.0
670.0,5,3860,1.0
210.0,3,1200,1.0
340.0,3,1960,1.0
225.0,4,1800,1.0
497.0,3,1450,3.0
560.0,3,1570,1.0
423.7,3,2070,2.0
699.85,4,2690,2.0
375.0,4,2420,2.0
330.0,3,2170,1.0
717.55,3,2840,3.0
827.235,3,1740,1.0
417.0,3,1310,1.0
738.0,3,2620,2.0
771.0,4,2420,2.0
535.0,4,1580,1.5
510.0,4,2440,1.0
430.0,3,1550,2.0
510.0,3,2240,2.0
925.0,4,3280,2.0
265.0,3,1460,1.0
201.5,3,1160,1.0
467.0,3,1425,3.0
375.0,3,2100,1.0
1665.0,4,3450,2.0
615.0,3,2110,1.0
315.0,3,2500,1.0
615.5,3,1810,1.0
249.0,3,1110,1.0
200.0,4,2090,1.0
255.0,3,930,1.0
625.0,3,1730,1.0
1650.0,4,4285,2.0
732.0,4,2360,1.0
283.0,4,2130,1.0
255.0,2,920,1.0
409.0,2,1480,1.0
200.0,2,950,1.0
335.0,4,1910,1.0
554.0,5,1870,1.0
322.5,4,1940,2.0
409.124,5,3320,2.0
1120.0,5,4400,1.0
805.0,4,2440,1.0
730.0,4,3660,2.0
1445.0,4,3200,3.0
675.0,4,2220,1.0
151.0,2,720,1.0
279.8,3,1410,2.0
375.0,4,2510,2.0
650.0,3,1660,1.0
402.5,3,2160,2.0
169.9,3,910,1.5
363.0,3,1960,1.0
506.95,3,2080,2.0
590.0,5,1840,1.5
435.0,5,2170,1.5
439.5,4,1360,1.5
840.0,4,3500,2.0
375.0,4,1757,1.0
480.0,3,2450,2.0
425.0,3,1420,2.0
419.625,4,2680,2.0
913.888,5,2370,2.0
329.0,3,1600,1.0
535.0,2,1510,1.5
540.0,3,2280,1.5
229.95,3,1900,2.0
309.95,4,1450,1.0
285.0,3,1990,1.0
522.5,4,2370,1.0
663.5,2,1310,1.0
780.0,3,2430,1.5
505.0,2,1070,1.0
895.0,4,2850,2.0
279.0,3,1110,1.0
780.0,5,3480,1.0
975.0,3,1850,1.5
857.326,3,3940,2.0
760.0,4,3300,2.0
535.0,3,2490,2.0
550.0,4,3148,2.0
285.0,4,2130,1.0
330.95,3,1630,2.0
850.0,4,3450,2.0
1170.0,4,2570,2.0
600.0,2,920,1.0
186.95,2,1390,2.0
630.0,4,2807,2.0
317.5,2,1000,1.0
340.0,3,1460,1.0
839.0,5,4280,2.0
142.0,0,290,1.0
300.0,4,2050,1.0
532.0,3,2360,1.0
732.0,3,1960,2.0
290.3,2,860,1.0
365.0,3,2190,2.0
2920.0,4,4575,2.5
530.0,4,3020,2.0
1400.0,5,3700,3.0
1020.0,5,4180,2.0
562.5,3,2030,1.0
300.0,2,1220,1.0
299.9,3,2100,2.0
3200.0,3,4560,1.0
600.0,5,2190,1.0
305.0,3,1250,1.0
955.99,5,3830,2.0
471.0,4,1760,1.0
975.0,3,3050,1.5
415.0,3,1640,1.0
352.95,3,1760,1.5
398.0,3,1310,2.0
400.375,4,1690,1.0
458.5,2,1160,1.0
930.0,3,2950,2.0
700.0,9,3680,2.0
272.0,3,1528,2.0
350.0,3,1050,1.0
649.0,4,2980,2.0
135.0,2,830,1.0
